positionID,sitesetID,positionType
6315,0,1
1795,1,0
6523,0,1
3347,0,1
2623,0,3
2448,0,1
990,0,1
2650,0,1
3716,0,1
8987,0,4
7310,0,2
1463,0,1
478,0,1
5156,0,1
3855,0,2
4896,0,1
29,0,1
6583,0,3
4292,0,1
3284,1,0
21169,0,4
1842,1,0
22,0,4
25,0,1
17930,0,2
305,0,1
5900,0,3
5686,0,1
280,0,1
4279,0,1
3131,0,2
15794,0,4
1541,0,2
2937,0,2
231,0,3
6201,0,2
2551,0,1
4062,0,1
5993,0,2
7539,0,1
4770,0,1
1361,0,1
351,0,1
5751,0,1
4904,0,1
4869,0,3
1693,0,2
4660,0,2
3509,0,1
10920,0,4
6414,0,1
11178,0,4
11431,0,4
174,0,1
7433,0,2
953,0,2
2569,0,1
15021,0,4
543,0,1
13810,0,4
6696,0,1
2875,0,4
1467,0,1
3149,0,0
5133,0,2
1037,0,1
7159,0,1
3449,0,2
49,0,1
6425,0,2
2251,0,1
1306,0,1
5701,0,1
533,0,1
7503,0,1
5626,0,2
6344,0,1
3814,0,1
16126,0,4
6504,0,1
5030,0,1
3123,0,2
1520,0,1
7856,0,2
47,0,1
1752,0,2
6586,0,2
1518,0,3
5728,0,1
5634,0,2
6931,0,1
2794,0,1
2334,0,1
10234,0,4
14066,0,4
1282,0,1
6575,0,1
6837,0,1
1790,0,4
3160,0,1
8015,0,4
846,0,1
2556,0,1
2655,0,4
7123,0,2
3761,0,2
12677,0,4
2945,0,1
3893,0,1
3092,0,2
4330,0,1
868,0,2
4950,0,1
2266,0,2
9028,0,4
4153,0,1
15351,0,4
3571,0,5
8643,0,4
1197,0,1
10688,0,4
6728,0,2
5227,0,1
18555,0,4
1694,0,1
1928,0,1
3167,0,3
6251,0,1
8874,0,4
7301,0,1
6382,0,3
5576,0,2
9637,0,4
3689,0,1
13535,0,4
7408,0,1
5473,0,1
2502,0,4
1246,0,2
1533,0,4
6209,0,1
7569,0,1
12321,0,4
5091,0,0
18821,0,4
2364,0,1
894,0,1
3385,0,2
7355,0,1
2355,0,2
13778,0,4
9173,0,4
5031,0,1
284,0,3
1504,0,2
3897,0,1
1077,0,1
1499,0,1
2422,0,1
6313,0,1
3511,0,4
7181,0,1
10314,0,4
6441,0,1
6320,0,3
6804,0,3
3207,0,2
7523,0,4
5147,0,2
263,0,1
3044,0,2
13696,0,4
6017,0,3
2533,0,1
4336,0,1
5225,0,1
3826,0,2
2186,0,4
5999,0,1
1055,0,3
5256,0,4
15789,0,4
4414,0,1
1803,0,1
6210,0,1
1345,0,1
2501,0,2
1081,0,2
4773,0,1
17,0,2
13021,0,4
4574,0,1
13498,0,4
7616,0,3
15395,0,0
1767,0,1
2036,0,2
3651,0,4
5896,0,1
847,0,1
13484,0,4
4905,0,3
2245,0,3
2617,0,1
3097,0,4
266,0,1
2557,0,1
16240,0,4
9855,0,4
18644,0,4
1011,0,1
11017,0,4
10,0,2
5172,0,1
5483,0,2
3951,0,1
1305,0,2
2997,0,1
997,0,2
1383,0,2
5555,0,2
15673,0,4
11111,0,4
19137,0,4
379,0,4
1279,0,1
6403,0,4
1594,0,4
2681,0,1
4856,0,2
5143,0,1
11870,0,4
2459,0,2
3697,0,2
19525,0,4
12773,0,1
8089,0,4
2883,0,2
5203,0,1
3458,0,1
6880,0,2
7632,0,1
7090,0,3
9767,0,4
5954,0,3
2865,0,1
20810,0,4
161,0,1
2269,0,4
6836,0,1
21623,0,3
6343,0,1
2342,0,3
10017,0,2
1998,0,1
1054,0,2
9889,0,4
453,0,2
6255,0,1
6822,0,2
4739,0,1
9388,0,4
7620,0,2
2252,0,4
7061,0,2
2963,0,2
11891,0,4
11813,0,4
366,0,1
1678,0,2
11520,0,4
3801,0,2
14925,0,4
11244,0,4
3479,0,2
6689,0,2
5370,0,1
6806,0,2
2154,0,2
8657,0,4
2934,0,2
2808,0,2
20568,0,4
13800,0,4
5717,0,2
1879,0,2
11656,0,4
9659,0,4
1382,0,2
1717,0,4
13312,0,2
672,0,1
3060,0,3
4295,0,2
648,0,1
1239,0,3
577,0,1
11814,0,4
4648,0,2
3592,0,2
19549,0,4
3919,0,1
4104,0,4
488,0,2
7282,0,3
10630,0,4
19050,0,4
7097,0,2
1437,0,4
3189,0,1
10149,0,4
5731,0,2
2905,0,2
